Feature	rank_it_0	rank_it_1	rank_it_2	rank_it_3	rank_it_4	rank_it_5	rank_it_6	rank_it_7	rank_it_8	rank_it_9
ENSG00000064270|ATP2C2|protein_coding	63	57	92	380	53	51	131	79	172	123
ENSG00000064547|LPAR2|protein_coding	35	59	80	103	68	70	106	91	104	51
ENSG00000064999|ANKS1A|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000065361|ERBB3|protein_coding	2	2	1	2	2	2	1	1	1	2
ENSG00000065802|ASB1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000066027|PPP2R5A|protein_coding	380	391	385	163	386	387	165	389	389	168
ENSG00000066629|EML1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000066739|ATG2B|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000067560|RHOA|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000068366|ACSL4|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000068654|POLR1A|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000069869|NEDD4|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000070190|DAPP1|protein_coding	35	26	10	34	40	46	53	18	35	40
ENSG00000070759|TESK2|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000070961|ATP2B1|protein_coding	380	167	385	380	177	387	165	389	389	389
ENSG00000071073|MGAT4A|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000072364|AFF4|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000072858|SIDT1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000072958|AP1M1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000073350|LLGL2|protein_coding	155	100	49	114	32	39	44	62	54	65
ENSG00000073803|MAP3K13|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000076554|TPD52|protein_coding	12	38	5	9	17	46	19	18	67	20
ENSG00000076826|CAMSAP3|protein_coding	2	2	2	2	1	1	1	2	1	2
ENSG00000077684|JADE1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000078070|MCCC1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000078081|LAMP3|protein_coding	90	118	73	163	386	387	390	164	67	168
ENSG00000079150|FKBP7|protein_coding	380	203	120	114	100	125	390	44	125	138
ENSG00000081087|OSTM1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000081791|KIAA0141|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000082126|MPP4|protein_coding	380	70	70	90	110	99	390	199	144	83
ENSG00000082146|STRADB|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000082458|DLG3|protein_coding	380	118	161	380	177	125	85	164	144	168
ENSG00000083307|GRHL2|protein_coding	2	2	2	1	2	1	1	1	1	2
ENSG00000083312|TNPO1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000085433|WDR47|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000085449|WDFY1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000085552|IGSF9|protein_coding	33	41	20	34	45	66	53	74	60	62
ENSG00000088002|SULT2B1|protein_coding	155	203	135	129	68	387	390	199	86	123
ENSG00000089356|FXYD3|protein_coding	2	33	2	3	2	2	2	2	2	7
ENSG00000091039|OSBPL8|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000091640|SPAG7|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000091831|ESR1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000091879|ANGPT2|protein_coding	90	45	120	17	110	33	48	104	81	54
ENSG00000092295|TGM1|protein_coding	380	91	161	163	110	169	199	104	92	168
ENSG00000094755|GABRP|protein_coding	1	2	2	2	1	1	2	2	1	2
ENSG00000095066|HOOK2|protein_coding	380	391	385	380	386	387	165	389	389	389
ENSG00000095585|BLNK|protein_coding	49	59	57	65	386	125	165	389	125	77
ENSG00000099337|KCNK6|protein_coding	380	391	385	163	386	387	390	389	389	389
ENSG00000100095|SEZ6L|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000100100|PIK3IP1|protein_coding	380	138	86	129	386	387	119	164	389	389
ENSG00000100379|KCTD17|protein_coding	155	391	385	380	177	199	390	104	389	389
ENSG00000100842|EFS|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000100934|SEC23A|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000102038|SMARCA1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000102181|CD99L2|protein_coding	90	45	161	380	68	125	119	199	60	138
ENSG00000102243|VGLL1|protein_coding	155	391	120	380	386	199	390	164	172	389
ENSG00000102271|KLHL4|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000102317|RBM3|protein_coding	380	391	385	380	386	169	390	389	125	389
ENSG00000102781|KATNAL1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000102886|GDPD3|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000102890|ELMO3|protein_coding	380	391	385	380	386	387	165	389	389	389
ENSG00000102962|CCL22|protein_coding	155	82	193	380	128	169	390	164	172	389
ENSG00000102996|MMP15|protein_coding	155	391	161	90	386	387	390	164	389	168
ENSG00000103037|SETD6|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000103047|TANGO6|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000103067|ESRP2|protein_coding	2	2	1	1	1	1	2	2	2	2
ENSG00000103546|SLC6A2|protein_coding	380	391	385	380	386	387	199	389	389	389
ENSG00000104140|RHOV|protein_coding	2	2	2	2	2	2	2	2	2	2
ENSG00000104219|ZDHHC2|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000104375|STK3|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000104413|ESRP1|protein_coding	2	1	2	1	2	1	2	1	2	2
ENSG00000104643|MTMR9|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000104660|LEPROTL1|protein_coding	155	167	161	380	386	387	119	389	172	168
ENSG00000104691|UBXN8|protein_coding	380	77	161	129	177	142	165	164	389	168
ENSG00000104728|ARHGEF10|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000104808|DHDH|protein_coding	380	391	385	380	386	387	390	389	172	389
ENSG00000105141|CASP14|protein_coding	380	391	385	380	386	387	390	389	172	389
ENSG00000105289|TJP3|protein_coding	27	24	56	19	45	23	28	31	31	25
ENSG00000105329|TGFB1|protein_coding	2	2	2	2	2	2	2	2	2	2
ENSG00000105357|MYH14|protein_coding	380	167	161	163	58	387	390	389	389	168
ENSG00000105519|CAPS|protein_coding	380	167	385	163	386	169	97	389	389	389
ENSG00000105523|FAM83E|protein_coding	380	133	385	163	386	387	390	389	389	389
ENSG00000105605|CACNG7|protein_coding	10	35	65	25	2	125	10	12	17	7
ENSG00000105699|LSR|protein_coding	2	2	2	1	2	2	2	2	1	1
ENSG00000105854|PON2|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000107625|DDX50|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000107874|CUEDC2|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000108244|KRT23|protein_coding	28	5	37	29	58	12	62	62	27	60
ENSG00000108797|CNTNAP1|protein_coding	380	133	161	163	100	93	64	104	389	389
ENSG00000108961|RANGRF|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000109062|SLC9A3R1|protein_coding	155	391	161	129	386	169	390	91	389	389
ENSG00000109680|TBC1D19|protein_coding	380	391	385	380	386	142	390	389	389	389
ENSG00000109814|UGDH|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000110042|DTX4|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000110723|EXPH5|protein_coding	380	391	385	380	128	199	165	164	125	389
ENSG00000110841|PPFIBP1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000110880|CORO1C|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000111145|ELK3|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000111348|ARHGDIB|protein_coding	64	118	385	380	177	169	390	199	172	123
ENSG00000111450|STX2|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000111490|TBC1D30|protein_coding	380	391	385	380	386	387	165	389	389	389
ENSG00000111615|KRR1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000111679|PTPN6|protein_coding	380	167	161	163	386	387	390	389	172	168
ENSG00000111816|FRK|protein_coding	380	91	385	380	386	387	165	389	389	168
ENSG00000111860|CEP85L|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000112031|MTRF1L|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000112796|ENPP5|protein_coding	110	167	385	163	386	387	390	164	85	199
ENSG00000112812|PRSS16|protein_coding	155	167	161	163	386	387	165	164	389	168
ENSG00000113558|SKP1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000113583|C5orf15|protein_coding	52	118	161	380	143	169	97	164	75	106
ENSG00000113621|TXNDC15|protein_coding	39	55	60	51	386	387	165	104	125	36
ENSG00000113658|SMAD5|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000113721|PDGFRB|protein_coding	25	77	385	31	55	86	390	77	28	168
ENSG00000114026|OGG1|protein_coding	380	391	385	380	177	387	390	389	389	389
ENSG00000114166|KAT2B|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000114353|GNAI2|protein_coding	380	167	193	103	177	169	390	389	389	168
ENSG00000114480|GBE1|protein_coding	380	167	385	380	386	387	165	389	389	389
ENSG00000115020|PIKFYVE|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000115339|GALNT3|protein_coding	155	105	53	36	63	26	57	37	88	138
ENSG00000115355|CCDC88A|protein_coding	110	55	193	380	128	50	89	164	44	123
ENSG00000115607|IL18RAP|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000115758|ODC1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000115966|ATF2|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000116039|ATP6V1B1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000116132|PRRX1|protein_coding	155	45	385	90	68	10	97	164	172	123
ENSG00000116670|MAD2L2|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000116809|ZBTB17|protein_coding	380	391	385	163	386	387	390	389	389	389
ENSG00000117115|PADI2|protein_coding	1	2	2	1	2	1	1	1	1	1
ENSG00000117266|CDK18|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000117385|P3H1|protein_coding	155	5	20	63	53	30	37	14	13	27
ENSG00000117480|FAAH|protein_coding	155	391	385	380	386	142	390	389	389	389
ENSG00000117595|IRF6|protein_coding	2	2	1	2	2	1	2	1	2	2
ENSG00000118496|FBXO30|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000118762|PKD2|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000118849|RARRES1|protein_coding	90	70	32	114	45	75	91	58	44	49
ENSG00000118965|WDR35|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000119004|CYP20A1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000119411|BSPRY|protein_coding	1	2	2	1	2	1	2	2	1	1
ENSG00000120162|MOB3B|protein_coding	380	391	161	380	177	387	390	164	389	389
ENSG00000120278|PLEKHG1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000121380|BCL2L14|protein_coding	155	118	161	63	177	32	65	65	92	51
ENSG00000121851|POLR3GL|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000122008|POLK|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000122591|FAM126A|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000123094|RASSF8|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000123416|TUBA1B|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000123485|HJURP|protein_coding	380	391	97	380	128	387	165	199	199	168
ENSG00000124107|SLPI|protein_coding	90	91	80	114	68	91	390	133	71	94
ENSG00000124507|PACSIN1|protein_coding	380	203	385	39	177	387	119	91	389	138
ENSG00000124602|UNC5CL|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000124743|KLHL31|protein_coding	380	391	385	380	177	387	390	389	389	389
ENSG00000125731|SH2D3A|protein_coding	2	2	1	2	2	1	2	2	2	1
ENSG00000125841|NRSN2|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000125850|OVOL2|protein_coding	39	43	80	55	68	46	53	54	53	65
ENSG00000126214|KLC1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000126460|PRRG2|protein_coding	81	118	41	79	100	169	71	122	92	87
ENSG00000126698|DNAJC8|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000126773|PCNX4|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000126860|EVI2A|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000126878|AIF1L|protein_coding	77	203	385	380	148	387	85	389	125	389
ENSG00000127084|FGD3|protein_coding	65	28	104	73	100	66	119	191	144	123
ENSG00000127418|FGFRL1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000127920|GNG11|protein_coding	155	391	75	380	75	107	97	104	104	63
ENSG00000127954|STEAP4|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000127955|GNAI1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000128422|KRT17|protein_coding	110	391	385	380	177	387	165	389	389	123
ENSG00000128617|OPN1SW|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000128886|ELL3|protein_coding	155	391	193	163	386	387	165	122	389	138
ENSG00000129353|SLC44A2|protein_coding	155	118	97	380	177	125	390	389	389	389
ENSG00000129354|AP1M2|protein_coding	1	2	1	1	2	1	2	1	1	2
ENSG00000129455|KLK8|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000130487|KLHDC7B|protein_coding	155	167	385	129	177	387	390	122	125	123
ENSG00000130545|CRB3|protein_coding	2	2	2	2	2	1	1	1	2	2
ENSG00000130590|SAMD10|protein_coding	45	77	51	79	50	61	136	389	125	42
ENSG00000130701|RBBP8NL|protein_coding	380	167	161	380	128	387	165	164	172	106
ENSG00000130762|ARHGEF16|protein_coding	155	83	97	76	68	51	119	133	67	106
ENSG00000130768|SMPDL3B|protein_coding	26	31	16	32	24	43	40	40	48	30
ENSG00000130830|MPP1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000131037|EPS8L1|protein_coding	77	167	385	380	386	169	199	389	104	123
ENSG00000131711|MAP1B|protein_coding	29	91	37	55	100	48	20	164	125	72
ENSG00000132031|MATN3|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000132321|IQCA1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000132698|RAB25|protein_coding	2	2	1	2	2	1	1	2	2	1
ENSG00000132746|ALDH3B2|protein_coding	71	391	161	380	128	169	165	164	172	112
ENSG00000132825|PPP1R3D|protein_coding	380	167	385	163	177	169	390	164	199	168
ENSG00000132849|PATJ|protein_coding	155	138	120	163	386	72	70	84	83	77
ENSG00000133027|PEMT|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000133056|PIK3C2B|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000133195|SLC39A11|protein_coding	380	203	193	380	386	99	165	58	199	199
ENSG00000133477|FAM83F|protein_coding	10	20	26	5	7	7	8	18	20	9
ENSG00000133731|IMPA1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000133962|CATSPERB|protein_coding	2	2	2	1	2	1	2	1	2	1
ENSG00000134072|CAMK1|protein_coding	380	167	385	163	386	99	97	389	389	389
ENSG00000134258|VTCN1|protein_coding	2	2	2	2	1	2	2	1	2	2
ENSG00000134313|KIDINS220|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000134317|GRHL1|protein_coding	2	2	12	2	7	2	2	2	2	2
ENSG00000134490|TMEM241|protein_coding	380	391	385	163	386	387	390	389	389	389
ENSG00000134533|RERG|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000134901|KDELC1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000134982|APC|protein_coding	380	391	385	163	177	387	390	199	389	389
ENSG00000134996|OSTF1|protein_coding	155	167	161	380	177	387	165	389	172	168
ENSG00000135127|BICDL1|protein_coding	2	2	2	2	2	2	2	2	2	2
ENSG00000135374|ELF5|protein_coding	155	118	161	380	143	387	390	122	144	77
ENSG00000135378|PRRG4|protein_coding	2	2	2	2	2	2	2	2	75	2
ENSG00000135404|CD63|protein_coding	380	391	385	163	177	93	390	389	389	389
ENSG00000135480|KRT7|protein_coding	1	2	2	1	2	2	1	2	1	2
ENSG00000135525|MAP7|protein_coding	22	91	45	66	23	39	106	84	83	25
ENSG00000135549|PKIB|protein_coding	380	391	385	380	177	169	390	389	389	389
ENSG00000135750|KCNK1|protein_coding	380	391	193	163	128	387	390	389	389	389
ENSG00000135931|ARMC9|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000136155|SCEL|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000136237|RAPGEF5|protein_coding	155	391	161	380	386	387	165	389	389	389
ENSG00000136383|ALPK3|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000136457|CHAD|protein_coding	110	36	34	90	177	25	119	65	172	60
ENSG00000136695|IL36RN|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000136710|CCDC115|protein_coding	380	391	385	380	386	387	165	389	389	389
ENSG00000137094|DNAJB5|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000137288|UQCC2|protein_coding	380	391	385	90	386	387	390	389	125	389
ENSG00000137440|FGFBP1|protein_coding	110	391	133	380	386	125	165	199	125	389
ENSG00000137441|FGFBP2|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000137502|RAB30|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000137648|TMPRSS4|protein_coding	155	391	385	380	386	387	390	164	389	389
ENSG00000137709|POU2F3|protein_coding	90	30	11	10	100	18	15	35	78	57
ENSG00000137747|TMPRSS13|protein_coding	2	1	2	2	2	2	1	2	1	1
ENSG00000137821|LRRC49|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000138375|SMARCAL1|protein_coding	380	391	161	380	386	387	390	389	389	389
ENSG00000138684|IL21|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000138686|BBS7|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000138756|BMP2K|protein_coding	66	52	42	36	50	72	165	54	46	54
ENSG00000139044|B4GALNT3|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000139055|ERP27|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000139278|GLIPR1|protein_coding	155	167	161	114	92	169	390	84	104	168
ENSG00000139547|RDH16|protein_coding	155	391	385	380	386	387	390	389	389	389
ENSG00000139624|CERS5|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000139625|MAP3K12|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000139641|ESYT1|protein_coding	77	91	120	99	110	107	53	164	81	106
ENSG00000139684|ESD|protein_coding	90	167	75	41	100	125	199	41	59	94
ENSG00000139974|SLC38A6|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000140262|TCF12|protein_coding	62	67	55	27	94	8	48	33	51	37
ENSG00000140526|ABHD2|protein_coding	1	2	1	2	1	2	2	1	2	1
ENSG00000140682|TGFB1I1|protein_coding	90	64	4	60	14	13	60	15	14	39
ENSG00000140832|MARVELD3|protein_coding	380	391	385	380	386	387	106	389	389	389
ENSG00000140937|CDH11|protein_coding	2	2	2	2	2	2	2	1	2	1
ENSG00000141497|ZMYND15|protein_coding	14	77	37	69	15	6	26	91	24	72
ENSG00000141738|GRB7|protein_coding	60	77	42	90	386	142	44	164	67	168
ENSG00000142227|EMP3|protein_coding	3	11	24	2	36	4	16	11	11	12
ENSG00000142273|CBLC|protein_coding	380	167	385	163	386	169	390	164	172	168
ENSG00000142675|CNKSR1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000142910|TINAGL1|protein_coding	155	391	161	380	177	125	390	389	199	389
ENSG00000143036|SLC44A3|protein_coding	17	11	28	23	40	66	89	50	26	19
ENSG00000143067|ZNF697|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000143217|NECTIN4|protein_coding	155	391	161	380	177	169	390	164	389	389
ENSG00000143320|CRABP2|protein_coding	1	2	2	1	2	2	1	2	1	2
ENSG00000143341|HMCN1|protein_coding	2	3	6	2	2	2	6	3	2	2
ENSG00000143365|RORC|protein_coding	380	391	385	380	386	169	390	389	389	389
ENSG00000143375|CGN|protein_coding	155	167	385	380	177	169	83	164	389	94
ENSG00000143515|ATP8B2|protein_coding	380	391	120	380	110	169	390	389	144	81
ENSG00000143578|CREB3L4|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000143590|EFNA3|protein_coding	380	167	385	380	386	387	390	389	389	389
ENSG00000143702|CEP170|protein_coding	2	2	2	2	2	1	1	2	2	1
ENSG00000143793|C1orf35|protein_coding	71	91	161	129	128	61	119	122	56	106
ENSG00000143850|PLEKHA6|protein_coding	77	70	67	53	48	30	106	7	37	106
ENSG00000143878|RHOB|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000144339|TMEFF2|protein_coding	155	133	120	74	128	199	165	133	172	94
ENSG00000144452|ABCA12|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000144642|RBMS3|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000144648|ACKR2|protein_coding	29	19	16	19	40	107	22	22	48	24
ENSG00000144935|TRPC1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000145103|ILDR1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000145362|ANK2|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000145817|YIPF5|protein_coding	155	391	97	380	177	387	119	164	389	389
ENSG00000145990|GFOD1|protein_coding	155	391	385	380	386	169	165	164	389	389
ENSG00000146904|EPHA1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000146955|RAB19|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000147416|ATP6V1B2|protein_coding	2	2	2	2	1	1	2	2	2	2
ENSG00000147434|CHRNA6|protein_coding	101	118	385	163	84	86	136	84	104	389
ENSG00000147676|MAL2|protein_coding	77	391	161	114	128	387	199	164	125	389
ENSG00000147697|GSDMC|protein_coding	110	167	97	380	81	72	165	199	104	94
ENSG00000148346|LCN2|protein_coding	380	391	385	380	177	387	390	389	389	168
ENSG00000148516|ZEB1|protein_coding	34	16	86	14	18	39	23	33	22	41
ENSG00000148834|GSTO1|protein_coding	2	2	2	2	2	2	2	8	12	2
ENSG00000149300|C11orf52|protein_coding	2	2	2	2	2	2	8	2	4	2
ENSG00000149418|ST14|protein_coding	90	100	107	114	53	125	165	133	74	106
ENSG00000149573|MPZL2|protein_coding	56	38	120	114	92	125	136	122	56	168
ENSG00000149948|HMGA2|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000151835|SACS|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000151882|CCL28|protein_coding	2	2	2	2	2	2	2	42	2	2
ENSG00000152213|ARL11|protein_coding	155	118	161	163	90	57	136	91	389	68
ENSG00000152661|GJA1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000152766|ANKRD22|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000152818|UTRN|protein_coding	380	391	385	163	386	387	390	389	389	199
ENSG00000153292|ADGRF1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000153823|PID1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000153827|TRIP12|protein_coding	155	391	161	380	386	387	390	133	389	389
ENSG00000154229|PRKCA|protein_coding	380	167	385	114	386	142	390	389	125	389
ENSG00000154240|CEP112|protein_coding	155	118	89	60	33	57	48	45	46	81
ENSG00000154370|TRIM11|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000154914|USP43|protein_coding	12	11	2	7	26	24	24	10	8	13
ENSG00000155016|CYP2U1|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000155066|PROM2|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000155099|TMEM55A|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000155158|TTC39B|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000155189|AGPAT5|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000155970|MICU3|protein_coding	380	391	385	380	386	387	390	389	389	389
ENSG00000155975|VPS37A|protein_coding	380	391	385	380	177	169	390	389	172	389
ENSG00000156222|SLC28A1|protein_coding	380	391	385	163	110	387	165	389	172	168
