Feature	rank_it_0	rank_it_1	rank_it_2	rank_it_3	rank_it_4	rank_it_5	rank_it_6	rank_it_7	rank_it_8	rank_it_9
NRDC_chr1:51819799-51819873	150	176	179	143	181	180	175	141	160	168
PLOD1_chr1:11957841-11957943	81	111	149	79	112	94	99	68	118	146
FOXK2_chr17:82595781-82596191	163	93	122	161	122	173	117	141	131	136
TUFT1_chr1:151562090-151562165	128	143	114	121	141	115	120	114	109	119
CCDC57_chr17:82179026-82179189	175	145	178	182	166	181	182	172	144	183
MFSD2A_chr1:39966600-39966691	21	31	25	24	22	38	31	24	59	26
MFSD2A_chr1:39966810-39966932	27	6	11	11	23	5	8	23	15	20
MFSD2A_chr1:39967085-39967169	6	10	40	15	12	42	23	6	7	17
MXRA7_chr17:76683846-76683927	24	99	51	34	32	20	52	40	25	24
SPAG9_chr17:50975862-50975901	1	1	1	1	1	1	1	1	1	1
ACSF2_chr17:50461241-50461355	9	6	7	15	5	5	8	10	7	33
G6PC3_chr17:44074968-44075087	48	44	35	36	47	40	69	47	72	46
TXNL4A_chr18:79976717-79976787	84	121	130	119	87	117	107	75	76	153
INO80C_chr18:35480452-35480563	54	66	66	90	50	70	55	103	88	101
INO80C_chr18:35479299-35479411	82	89	124	71	105	114	67	148	97	79
TYMS_chr18:669071-669173	42	63	75	85	48	59	73	65	45	94
EVI5L_chr19:7857091-7857124	1	1	1	1	1	1	1	1	1	1
LBR_chr1:225410290-225410416	19	19	14	15	14	8	8	10	11	11
TEAD2_chr19:49357251-49357314	181	151	152	172	143	180	165	153	167	173
MKNK2_chr19:2046185-2046283	118	158	137	148	156	152	163	148	178	156
ADGRL1_chr19:14164620-14164705	160	164	142	178	138	163	159	151	169	111
DNM2_chr19:10796060-10796199	1	1	1	1	1	1	1	1	1	1
DNM2_chr19:10808568-10808580	1	1	1	1	1	1	1	1	1	1
BORCS8-MEF2B_chr19:19180685-19180761	72	128	96	109	70	111	103	121	106	138
MYO9B_chr19:17180926-17181040	3	6	7	6	8	10	3	6	3	9
EPN1_chr19:55677549-55677734	141	81	104	88	109	150	111	124	114	124
ENSG00000268362_chr19:24048936-24049014	121	149	175	139	174	162	174	135	163	147
GPI_chr19:34399206-34399335	123	111	56	65	56	77	101	48	101	97
LSR_chr19:35262545-35262692	19	64	52	42	58	80	35	65	49	46
CARM1_chr19:10921374-10921443	1	2	2	2	1	2	2	2	2	2
TRIP10_chr19:6746028-6746196	164	157	125	141	153	130	144	156	129	92
POP4_chr19:29608656-29608709	165	150	148	170	170	160	151	160	176	165
SPINT2_chr19:38283626-38283797	125	84	137	119	117	87	136	159	107	107
GYS1_chr19:48982719-48982837	158	170	135	156	128	139	161	86	174	132
RALY_chr20:34077027-34077245	35	37	50	41	32	45	42	72	68	89
LSM14B_chr20:62130218-62130296	3	2	7	6	3	8	2	6	7	5
DNMT3B_chr20:32805337-32805407	149	132	133	145	89	54	128	176	81	139
DNMT3B_chr20:32806208-32806327	111	113	89	82	104	120	105	144	82	111
CDS2_chr20:5185757-5185826	69	87	66	82	79	81	58	56	87	56
TCEA2_chr20:64068046-64068134	174	138	131	157	161	165	176	180	154	170
CDC45_chr22:19507765-19507864	52	51	64	69	97	50	102	60	114	54
ADARB1_chr21:45118563-45118619	93	120	82	56	59	103	59	45	63	57
AP1B1_chr22:29329711-29329720	1	1	1	1	1	1	1	1	1	1
USP18_chr22:18173149-18173281	2	2	3	2	2	2	2	2	3	5
LAS1L_chrX:65533609-65533735	49	93	98	49	64	64	86	84	75	84
ZFX_chrX:24151690-24151800	77	96	85	107	90	142	78	92	76	109
ARMCX5-GPRASP2_chrX:102601463-102601509	104	98	140	151	128	94	111	116	93	131
CD99L2_chrX:150828305-150829604	144	91	123	91	124	144	169	159	147	124
ACOT9_chrX:23734340-23734367	115	106	119	127	84	129	114	93	78	97
ATRX_chrX:77717130-77717243	142	109	138	125	131	107	120	149	132	103
CASK_chrX:41555599-41555635	61	47	58	107	116	83	63	57	61	84
ATP11C_chrX:139731650-139731755	35	36	72	35	63	74	57	41	80	40
ATG9A_chr2:219213007-219213065	92	159	53	164	109	156	118	117	93	150
ABCB6_chr2:219213007-219213065	180	165	111	177	176	116	170	156	148	172
INPP4A_chr2:98548954-98548969	1	1	2	2	2	2	1	2	2	1
MYO1B_chr2:191400748-191400835	71	43	57	37	39	53	49	50	71	53
MYO1B_chr2:191402631-191402718	2	2	2	3	2	2	2	2	3	1
ITGA6_chr2:172501771-172501901	31	21	18	21	27	35	27	34	34	82
IFT172_chr2:27445744-27445843	74	78	80	74	70	72	131	53	51	59
MLPH_chr2:237534563-237534647	59	47	25	63	38	28	21	21	31	36
SEPT10_chr2:109564365-109564534	148	164	169	154	178	148	173	161	158	158
DGKD_chr2:233468422-233468553	44	86	38	44	60	44	63	25	39	44
DTYMK_chr2:241680228-241680319	88	118	103	116	99	140	126	89	105	143
NPAS2_chr2:100937752-100937842	158	177	147	176	168	146	147	170	175	177
CCDC88A_chr2:55303068-55303152	21	19	27	30	25	35	19	16	22	24
KANSL3_chr2:96615491-96615544	114	117	105	52	76	125	149	107	97	133
RTKN_chr2:74439550-74439977	56	40	54	77	105	79	64	73	89	73
MBNL1_chr3:152446703-152446757	1	1	1	1	1	1	1	1	1	1
MBNL1_chr3:152455541-152455577	59	97	77	83	119	91	139	122	126	86
MAGI1_chr3:65448021-65448057	38	39	89	33	76	24	34	38	54	51
NBEAL2_chr3:46992474-46992555	24	38	7	9	8	25	19	6	40	20
TPRA1_chr3:127575184-127575265	38	23	26	24	28	29	21	19	20	17
FLNB_chr3:58141857-58141896	140	78	115	86	136	58	91	116	112	76
PLOD2_chr3:146077861-146077924	1	1	1	1	1	1	1	1	1	1
TBC1D23_chr3:100311832-100311877	40	17	29	15	18	14	25	21	20	24
CRBN_chr3:3152455-3152587	135	124	97	130	118	132	131	123	135	160
SLC12A8_chr3:125088309-125088370	171	169	172	146	131	154	152	128	165	163
CTDSPL_chr3:37957110-37957143	105	82	111	104	95	123	98	96	86	94
ENAH_chr1:225504990-225505053	1	1	2	1	1	1	1	1	1	1
RUBCN_chr3:197691073-197691148	2	1	2	1	1	1	1	1	2	1
GOLGB1_chr3:121719645-121719753	94	75	95	112	133	72	71	52	64	107
CLCN3_chr4:169717791-169717867	66	55	61	68	53	60	47	79	82	103
USO1_chr4:75795335-75795356	2	2	2	2	2	2	2	2	2	2
CCDC50_chr3:191375061-191375589	46	12	7	39	12	17	12	46	13	13
CGN_chr1:151535599-151535683	135	149	163	144	157	112	114	137	116	174
FAM13A_chr4:88737471-88737555	32	24	30	96	66	41	38	43	73	81
RAPGEF2_chr4:159351058-159351181	146	95	111	147	62	68	82	61	95	79
LIMCH1_chr4:41638931-41638967	43	70	69	60	96	65	106	81	84	67
LIMCH1_chr4:41670717-41670792	120	100	119	128	148	110	94	85	134	130
ADD1_chr4:2909338-2909431	122	115	160	73	93	100	88	84	91	87
SEC31A_chr4:82842184-82842481	1	1	1	1	1	1	1	1	1	1
GALNT7_chr4:173297794-173297977	1	2	2	2	2	2	3	2	2	2
GALNT7_chr4:173298114-173298297	3	1	2	2	3	3	3	2	7	3
WDFY3_chr4:84726860-84726911	110	81	117	71	61	105	76	113	97	121
FAT1_chr4:186590367-186590403	1	1	1	1	1	1	1	1	1	1
SMYD2_chr1:214305186-214305250	153	74	102	135	99	95	143	138	103	145
BRD9_chr5:868606-869119	128	78	77	93	70	129	84	87	104	79
SH3TC2_chr5:149012583-149012734	167	175	182	167	173	158	166	121	178	181
ANXA6_chr5:151110626-151110644	1	1	1	1	1	1	1	1	1	1
SLC22A5_chr5:132390775-132390904	107	135	91	103	155	131	109	174	141	162
BRD8_chr5:138164086-138164133	125	136	89	134	154	89	105	110	127	121
CAST_chr5:96726793-96726859	1	1	1	1	1	1	1	1	1	1
ENSG00000272869_chr5:112864620-112864732	172	144	171	97	164	170	177	165	183	127
RAPGEF6_chr5:131450022-131450046	57	33	29	55	32	47	52	29	45	44
MRPL2_chr6:43056080-43056196	91	125	107	96	87	168	128	119	122	149
MRPL2_chr6:43055896-43056007	118	141	165	124	141	142	120	145	123	156
EPB41_chr1:29097806-29097935	51	58	113	115	68	83	60	100	58	64
RNF146_chr6:127282286-127282395	21	27	22	33	45	30	36	16	15	34
CLSTN1_chr1:9737497-9737554	16	21	15	6	8	23	15	10	22	12
PRR3_chr6:30561327-30561508	128	130	140	123	165	107	81	156	99	114
KIF13A_chr6:17771113-17771218	1	1	1	1	1	1	1	1	1	1
CAP2_chr6:17507640-17507650	103	51	59	78	53	90	78	76	56	91
PPOX_chr1:161168431-161168576	143	86	159	105	82	69	143	109	145	114
PPOX_chr1:161168992-161169183	97	88	108	84	86	153	93	97	113	68
ARHGEF11_chr1:156938417-156938513	1	1	1	1	1	1	1	1	1	1
HERPUD2_chr7:35673200-35673278	131	108	152	110	120	114	124	168	173	106
HERPUD2_chr7:35670214-35670328	178	131	132	180	175	171	150	113	125	120
PDGFA_chr7:500430-500499	97	62	48	67	70	75	65	78	51	97
OSBPL3_chr7:24863199-24863292	17	21	41	26	29	31	17	18	42	31
CSF1_chr1:109923165-109923711	1	1	1	1	1	1	1	1	1	1
IFT22_chr7:101318955-101319032	64	56	92	61	74	73	54	71	45	49
SUN1_chr7:848417-848615	53	59	140	58	83	121	85	96	67	93
AKAP9_chr7:92042045-92042186	59	30	36	40	74	52	33	32	37	57
RNF216P1_chr7:4986566-4986631	146	104	119	136	121	109	146	118	142	117
COG5_chr7:107283570-107283732	168	179	171	167	162	176	180	177	181	175
COG5_chr7:107281299-107281399	154	127	127	137	122	161	136	143	139	127
RBPMS_chr8:30561943-30562149	120	166	150	133	163	166	154	153	172	165
TACC1_chr8:38823989-38824025	97	124	146	163	134	99	136	163	121	71
LRRC14_chr8:144518748-144518815	169	153	101	107	114	126	90	107	143	152
INTS9_chr8:28846746-28846809	112	156	144	140	172	150	158	133	153	178
TNFRSF10A_chr8:23200504-23200600	182	180	181	181	179	173	180	180	181	185
SCRIB_chr8:143807551-143807614	29	10	19	17	17	12	32	14	17	17
DNM1_chr9:128247923-128247935	1	1	1	1	1	1	1	1	1	1
TBC1D13_chr9:128790734-128790775	9	8	13	6	3	12	3	6	11	9
CARD19_chr9:93111878-93111938	45	43	47	66	44	32	49	39	38	30
MRPS15_chr1:36460691-36460776	173	140	157	151	157	138	154	135	119	171
COL5A1_chr9:134814796-134814904	97	104	145	98	134	133	140	131	139	141
FNBP1_chr9:129915965-129915980	1	1	1	1	1	1	1	1	1	1
PLAA_chr9:26917096-26917165	62	48	43	51	36	48	38	51	26	62
TCF7L2_chr10:113159919-113159992	3	3	3	3	2	2	6	3	2	5
TCF7L2_chr10:113160618-113160691	35	32	23	28	34	19	30	23	33	39
MYOF_chr10:93392916-93392955	6	2	3	2	8	3	6	2	2	9
FGFR2_chr10:121518681-121518829	78	53	74	48	43	101	46	43	66	74
NCOA4_chr10:46009410-46009551	176	172	173	167	177	148	162	165	171	179
SLK_chr10:104010815-104010908	1	1	1	1	1	1	1	1	1	1
OPTN_chr10:13108137-13108289	103	90	100	90	85	61	95	128	107	113
OPTN_chr10:13108961-13109015	86	111	84	54	65	50	80	58	100	82
KIAA1217_chr10:24542692-24542770	1	1	2	1	1	2	1	2	1	2
ZDHHC16_chr10:97453798-97453846	138	134	99	133	128	119	92	129	124	117
ARNT_chr1:150842423-150842468	47	73	45	45	41	40	44	50	30	50
RAB18_chr10:27531528-27531615	162	138	162	161	149	158	156	170	165	140
ATP5C1_chr10:7806973-7807010	1	1	1	1	1	1	1	1	1	1
SLC37A2_chr11:125086203-125086260	51	76	32	38	34	57	52	55	32	40
PICALM_chr11:85978069-85978093	25	14	20	21	16	18	28	31	35	27
PICALM_chr11:85976622-85976682	106	168	126	121	145	104	101	105	158	99
PPFIA1_chr11:70382087-70382158	67	173	81	113	48	55	115	80	59	62
NAV2_chr11:20051288-20051333	90	168	106	149	111	103	132	153	150	88
ARHGAP1_chr11:46682050-46682182	177	161	177	174	179	182	182	133	181	176
CTNND1_chr11:57789036-57789155	1	1	1	1	1	1	1	1	1	1
CTNND1_chr11:57791493-57791673	1	1	1	1	1	1	1	1	1	1
YAP1_chr11:102209516-102209564	35	45	63	22	26	17	41	34	24	37
MARK2_chr11:63890221-63890295	160	142	176	174	145	151	148	163	133	183
APLP2_chr11:130123611-130123779	73	52	42	63	81	46	43	37	50	42
SLC37A4_chr11:119028734-119028834	81	70	86	64	73	89	83	100	110	117
S100A4_chr1:153545469-153545518	28	26	21	53	46	36	45	62	13	22
